"wave","m1","m2","m3","m4","m5","m6","s1","s2","s3","s4","s5","s6","t1","t2","t3","t4","t5","t6"
1360,15.93,14.5266666666667,17.8733333333333,16.2666666666667,16.9666666666667,12.4433333333333,8.33333333333333,8.79333333333333,12.1633333333333,13.3966666666667,12.47,13.3,25.1533333333333,17.52,8.16666666666667,11.7,18.94,14.07
1370,15.2166666666667,13.71,17.8666666666667,15.8433333333333,16.6066666666667,11.9366666666667,7.99333333333333,8.53333333333333,12.0066666666667,13.0466666666667,12.6333333333333,13.04,24.6466666666667,16.5933333333333,7.71,11.33,18.6866666666667,13.8966666666667
1380,15.525,14.115,17.335,15.12,15.925,12.095,8.25,8.585,11.88,12.875,12.375,12.71,24.2,16.695,7.695,10.88,18.39,13.32
1390,14.8733333333333,13.88,17.4533333333333,15.74,16.02,11.4466666666667,7.84666666666667,8.66333333333333,11.59,12.88,12.3,12.88,24.5,16.3333333333333,7.89666666666667,10.8366666666667,18.47,13.9166666666667
1400,14.6066666666667,13.4,17.1666666666667,15.0566666666667,16.4166666666667,12.0466666666667,7.87333333333333,8.12333333333333,11.6833333333333,13.04,12.2966666666667,12.2966666666667,23.9766666666667,16.2166666666667,7.89333333333333,10.8533333333333,18.0533333333333,13.3966666666667
1410,14.2866666666667,13.07,17.02,15.0466666666667,15.5033333333333,10.7933333333333,7.85666666666667,8.10333333333333,11.1633333333333,12.39,12.0266666666667,12.6433333333333,22.96,15.64,7.46333333333333,10.7633333333333,18.0766666666667,13.2
1420,12.42,11.475,15.405,13.425,14.215,11.26,6.975,7,10.09,11.935,11.195,11.195,21.15,14.805,6.935,9.47,16.2,12.055
1430,11.3133333333333,10.2266666666667,13.3533333333333,11.2066666666667,12.39,9.79666666666667,6.63666666666667,6.14333333333333,8.97333333333333,11.45,9.96,10.0366666666667,18.4033333333333,12.2733333333333,5.91333333333333,8.47666666666667,14.72,10.6033333333333
1440,9.22,8.66333333333333,12.2466666666667,10.3933333333333,10.46,9.10333333333333,6.09666666666667,5.57333333333333,7.76666666666667,10.2533333333333,9.55666666666667,8.91,15.2866666666667,10.7833333333333,4.92666666666667,7.38,12.8066666666667,8.88666666666667
1450,6.79,6.505,9.525,8.02,8.395,7.505,5.295,4.64,6.21,9.135,8.3,7.555,10.69,7.335,3.495,5.095,9.435,6.2
1460,6.09333333333333,5.96333333333333,8.93666666666667,7.46333333333333,7.62333333333333,7.17,5.14666666666667,4.28666666666667,5.79,8.79,7.88666666666667,7.10666666666667,9.11333333333333,6.78333333333333,2.86,4.30666666666667,7.95,5.11333333333333
1470,6.49666666666667,6.28333333333333,9.33333333333333,7.81333333333333,8.02,7.42,5.40333333333333,4.43666666666667,6.04,9.04666666666667,8.11,7.34333333333333,9.70333333333333,7.09,3.07,4.53666666666667,8.23666666666667,5.6
1480,6.24666666666667,6.11333333333333,9.32,7.72333333333333,8.07666666666667,7.42666666666667,5.29,4.48333333333333,5.95,9.06,8.25333333333333,7.34,9.35666666666667,6.66,2.91,4.32,8.12333333333333,5.34666666666667
1490,5.965,5.89,9.16,7.46,7.915,7.245,5.355,4.395,5.82,9.075,8.31,7.26,8.785,6.125,2.745,3.945,7.655,4.845
